timestamp,src,sport,dst,dport,proto,pkt_count,bytes,duration,pred
2025-12-16 01:09:20,4.213.25.240,443,192.168.1.25,63122,TCP,1,66,0.0,
2025-12-16 01:09:22,192.168.1.25,58701,44.198.7.35,443,TCP,2,109,14.989,
2025-12-16 01:09:22,192.168.1.25,50551,44.198.7.35,443,TCP,3,163,14.705,
2025-12-16 01:09:22,44.198.7.35,443,192.168.1.25,50551,TCP,5,359,14.704,
2025-12-16 01:09:22,44.198.7.35,443,192.168.1.25,58701,TCP,4,305,14.757,
2025-12-16 01:09:22,192.168.1.20,0,239.255.255.250,0,2,3,138,0.003,
2025-12-16 01:09:22,192.168.1.25,62573,64.233.170.188,443,TCP,1,55,0.0,
2025-12-16 01:09:22,192.168.1.25,51471,34.195.70.37,443,TCP,1,55,0.0,
2025-12-16 01:09:22,192.168.1.25,57878,34.195.70.37,443,TCP,1,55,0.0,
2025-12-16 01:09:22,64.233.170.188,443,192.168.1.25,62573,TCP,1,70,0.0,
2025-12-16 01:09:22,34.195.70.37,443,192.168.1.25,51471,TCP,1,66,0.0,
2025-12-16 01:09:22,34.195.70.37,443,192.168.1.25,57878,TCP,1,66,0.0,
2025-12-16 01:09:23,192.168.1.10,0,239.255.255.250,0,2,3,180,0.004,
2025-12-16 01:09:23,192.168.1.10,0,224.0.0.251,0,2,3,180,0.096,
2025-12-16 01:09:23,192.168.1.25,62696,74.125.200.188,443,TCP,1,55,0.0,
2025-12-16 01:09:23,74.125.200.188,443,192.168.1.25,62696,TCP,1,66,0.0,
2025-12-16 01:09:23,192.168.1.25,62685,172.64.155.209,443,TCP,21,9641,40.068,
2025-12-16 01:09:23,172.64.155.209,443,192.168.1.25,62685,TCP,25,5592,40.069,
2025-12-16 01:09:23,57.144.53.32,443,192.168.1.25,63473,TCP,4,279,5.013,
2025-12-16 01:09:23,192.168.1.25,63473,57.144.53.32,443,TCP,3,162,5.013,
2025-12-16 01:09:23,57.144.169.32,443,192.168.1.25,63472,TCP,3,225,5.011,
2025-12-16 01:09:23,192.168.1.25,63472,57.144.169.32,443,TCP,2,108,5.011,
2025-12-16 01:09:23,57.144.211.32,443,192.168.1.25,63475,TCP,3,225,5.001,
2025-12-16 01:09:23,192.168.1.25,63475,57.144.211.32,443,TCP,2,108,5.001,
2025-12-16 01:09:23,57.144.43.32,443,192.168.1.25,63476,TCP,3,225,5.036,
2025-12-16 01:09:23,192.168.1.25,63476,57.144.43.32,443,TCP,2,108,5.036,
2025-12-16 01:09:26,192.168.1.20,0,224.0.0.252,0,2,3,138,0.002,
2025-12-16 01:09:28,192.168.1.25,64325,8.8.4.4,443,TCP,1,55,0.0,
2025-12-16 01:09:28,8.8.4.4,443,192.168.1.25,64325,TCP,1,70,0.0,
2025-12-16 01:09:30,192.168.1.25,56919,52.168.117.175,443,TCP,1,55,0.0,
2025-12-16 01:09:30,52.168.117.175,443,192.168.1.25,56919,TCP,1,66,0.0,
2025-12-16 01:09:35,4.186.14.122,443,192.168.1.25,54526,TCP,1,94,0.0,
2025-12-16 01:09:36,192.168.1.25,54526,4.186.14.122,443,TCP,2,159,0.076,
2025-12-16 01:09:44,192.168.1.25,58715,34.54.84.110,443,TCP,42,9490,35.626,
