timestamp,src,sport,dst,dport,proto,pred
2025-11-13 22:52:13,192.168.1.35,58828,54.163.85.238,443,TCP,0
2025-11-13 22:52:13,192.168.1.35,50854,4.213.25.242,443,TCP,0
2025-11-13 22:52:14,4.213.25.242,443,192.168.1.35,50854,TCP,0
2025-11-13 22:52:14,54.163.85.238,443,192.168.1.35,58828,TCP,0
2025-11-13 22:52:14,192.168.1.35,63263,74.125.24.188,443,TCP,0
2025-11-13 22:52:14,74.125.24.188,443,192.168.1.35,63263,TCP,0
2025-11-13 22:52:14,192.168.1.35,53888,35.169.47.173,443,TCP,0
2025-11-13 22:52:14,192.168.1.35,64491,54.163.85.238,443,TCP,0
2025-11-13 22:52:14,192.168.1.35,56683,35.227.218.218,443,UDP,0
2025-11-13 22:52:14,35.227.218.218,443,192.168.1.35,56683,UDP,0
2025-11-13 22:52:14,192.168.1.35,62704,142.250.29.94,443,TCP,0
2025-11-13 22:52:14,142.250.29.94,443,192.168.1.35,62704,TCP,0
2025-11-13 22:52:14,192.168.1.35,51154,35.227.218.218,443,UDP,0
2025-11-13 22:52:14,192.168.1.35,61156,35.227.218.218,443,TCP,0
2025-11-13 22:52:14,35.227.218.218,443,192.168.1.35,61156,TCP,0
2025-11-13 22:52:14,35.227.218.218,443,192.168.1.35,51154,UDP,0
2025-11-13 22:52:14,35.169.47.173,443,192.168.1.35,53888,TCP,0
2025-11-13 22:52:14,54.163.85.238,443,192.168.1.35,64491,TCP,0
2025-11-13 22:52:15,192.168.1.35,53857,129.227.206.6,443,TCP,0
2025-11-13 22:52:15,129.227.206.6,443,192.168.1.35,53857,TCP,0
2025-11-13 22:52:15,192.168.1.35,58224,104.208.16.92,443,TCP,0
2025-11-13 22:52:15,104.208.16.92,443,192.168.1.35,58224,TCP,0
2025-11-13 22:52:16,192.168.1.35,61158,57.144.169.32,443,TCP,0
2025-11-13 22:52:16,192.168.1.35,61160,57.144.209.32,443,TCP,0
2025-11-13 22:52:16,57.144.169.32,443,192.168.1.35,61158,TCP,0
2025-11-13 22:52:16,57.144.209.32,443,192.168.1.35,61160,TCP,0
2025-11-13 22:52:16,192.168.1.35,61157,163.70.144.60,443,TCP,0
2025-11-13 22:52:16,192.168.1.35,61159,202.88.157.98,443,TCP,0
2025-11-13 22:52:16,202.88.157.98,443,192.168.1.35,61159,TCP,0
2025-11-13 22:52:16,163.70.144.60,443,192.168.1.35,61157,TCP,0
2025-11-13 22:52:16,192.168.1.35,57656,74.125.24.188,443,TCP,0
2025-11-13 22:52:16,74.125.24.188,443,192.168.1.35,57656,TCP,0
2025-11-13 22:52:16,4.186.9.165,443,192.168.1.35,58851,TCP,0
2025-11-13 22:52:16,192.168.1.35,58851,4.186.9.165,443,TCP,0
2025-11-13 22:52:18,192.168.1.35,53660,8.8.8.8,53,UDP,0
2025-11-13 22:52:18,8.8.8.8,53,192.168.1.35,53660,UDP,0
2025-11-13 22:52:20,192.168.1.35,61161,20.189.173.8,443,TCP,0
2025-11-13 22:52:20,20.189.173.8,443,192.168.1.35,61161,TCP,0
2025-11-13 22:52:21,57.144.169.33,443,192.168.1.35,59457,TCP,0
2025-11-13 22:52:21,192.168.1.35,59457,57.144.169.33,443,TCP,0
2025-11-13 22:52:23,192.168.1.35,59407,4.186.9.165,443,TCP,0
2025-11-13 22:52:23,4.186.9.165,443,192.168.1.35,59407,TCP,0
2025-11-13 22:52:24,192.168.1.35,53213,18.161.216.15,443,TCP,0
2025-11-13 22:52:24,18.161.216.15,443,192.168.1.35,53213,TCP,0
2025-11-13 22:52:28,192.168.1.45,0,224.0.0.251,0,OTHER,0
2025-11-13 22:52:28,192.168.1.35,63850,142.251.222.164,443,UDP,0
2025-11-13 22:52:28,142.251.222.164,443,192.168.1.35,63850,UDP,0
2025-11-13 22:52:28,192.168.1.35,50627,142.250.205.46,443,UDP,0
2025-11-13 22:52:28,142.250.205.46,443,192.168.1.35,50627,UDP,0
2025-11-13 22:52:29,192.168.1.35,53115,142.250.77.138,443,UDP,0
2025-11-13 22:52:29,142.250.77.138,443,192.168.1.35,53115,UDP,0
2025-11-13 22:52:29,192.168.1.35,62423,142.251.222.193,443,UDP,0
2025-11-13 22:52:29,142.251.222.193,443,192.168.1.35,62423,UDP,0
2025-11-13 22:52:29,192.168.1.45,5353,224.0.0.251,5353,UDP,0
2025-11-13 22:52:29,192.168.1.35,65444,142.251.223.238,443,UDP,0
2025-11-13 22:52:29,142.251.223.238,443,192.168.1.35,65444,UDP,0
2025-11-13 22:52:30,192.168.1.35,61280,129.227.206.5,443,TCP,0
2025-11-13 22:52:30,129.227.206.5,443,192.168.1.35,61280,TCP,0
2025-11-13 22:52:30,192.168.1.35,61598,142.251.221.202,443,UDP,0
2025-11-13 22:52:30,142.251.221.202,443,192.168.1.35,61598,UDP,0
2025-11-13 22:52:30,192.168.1.35,59943,52.72.193.44,443,TCP,0
2025-11-13 22:52:31,52.72.193.44,443,192.168.1.35,59943,TCP,0
2025-11-13 22:52:31,192.168.1.35,50134,142.251.43.227,443,UDP,0
2025-11-13 22:52:31,142.251.43.227,443,192.168.1.35,50134,UDP,0
2025-11-13 22:52:32,192.168.1.35,59055,142.250.207.78,443,UDP,0
2025-11-13 22:52:32,142.250.207.78,443,192.168.1.35,59055,UDP,0
2025-11-13 22:52:33,192.168.1.35,60012,142.251.223.14,443,UDP,0
2025-11-13 22:52:34,142.251.223.14,443,192.168.1.35,60012,UDP,0
2025-11-13 22:52:34,192.168.1.35,62934,142.251.222.193,443,UDP,0
2025-11-13 22:52:34,142.251.222.193,443,192.168.1.35,62934,UDP,0
2025-11-13 22:52:34,192.168.1.35,50408,142.251.221.162,443,UDP,0
2025-11-13 22:52:34,192.168.1.35,59411,52.72.193.44,443,TCP,0
2025-11-13 22:52:34,142.251.221.162,443,192.168.1.35,50408,UDP,0
2025-11-13 22:52:34,192.168.1.35,52044,142.250.67.40,443,UDP,0
2025-11-13 22:52:34,142.250.67.40,443,192.168.1.35,56832,TCP,0
2025-11-13 22:52:34,142.250.67.40,443,192.168.1.35,52044,UDP,0
2025-11-13 22:52:34,192.168.1.35,56832,142.250.67.40,443,TCP,0
